id,title,abstract,categories,authors,update_date
0708.2003,The logarithmic Sobolev inequality along the Ricci flow in dimension 2,In this paper we present our results on the logarithmic Sobolev inequality along the Ricci flow in dimension 2.,math.DG,Rugang Ye,2007-08-16
0709.2627,Non-circular semiconductor nanorings of type I and II: Emission kinetics   in the exciton Aharonov-Bohm effect,"Transition energies and oscillator strengths of excitons in dependence on magnetic field are investigated in type I and II semiconductor nanorings. A slight deviation from circular (concentric) shape of the type II nanoring gives a better observability of the Aharonov-Bohm oscillations since the ground state is always optically active. Kinetic equations for the exciton occupation are solved with acoustic phonon scattering as the major relaxation process, and absorption and luminescence spectra are calculated showing deviations from equilibrium. The presence of a non-radiative exciton decay leads to a quenching of the integrated photoluminescence with magnetic field.",cond-mat.mes-hall,Michal Grochol and Roland Zimmermann,2009-11-13
0710.5385,Analysis of quantum semigroups with GKS-Lindblad generators I. Simple   generators,"Semigroups describing the time evolution of open quantum systems in finite dimensional spaces have generators of a special form, known as Lindblad generators. The simple generators, characterized by only one operator, are analyzed. The complete set of all the stationary states is presented in detail, including a formula to calculate a stationary state from the generating operator. Also the opposite task can be fulfilled, to construct an evolution leading to a prescribed stationary state.",math-ph math.MP quant-ph,"Bernhard Baumgartner, Heide Narnhofer, Walter Thirring",2008-06-20
0805.1355,The core helium flash revisited: I. One and two-dimensional hydrodynamic   simulations,"We investigate the hydrodynamics of the core helium flash near its peak. Past research concerned with the dynamics of this event is inconclusive. However, the most recent multidimensional hydrodynamic studies suggest a quiescent behavior and seem to rule out an explosive scenario. Previous work indicated, that depending on initial conditions, employed turbulence models, grid resolution, and dimensionality of the simulation, the core helium flash leads either to the disruption of a low-mass star or to a quiescent quasi-hydrostatic evolution. We try to clarify this issue by simulating the evolution with advanced numerical methods and detailed microphysics. Assuming spherical or axial symmetry, we simulate the evolution of the helium core of a $1.25 M_{\odot}$ star with a metallicity Z=0.02 during the core helium flash at its peak with a grid-based hydrodynamics code. We find that the core helium flash neither rips the star apart, nor that it significantly alters its structure, as convection plays a crucial role in keeping the star in hydrostatic equilibrium. In addition, our simulations show the presence of overshooting, which implies new predictions concerning mixing of chemical species in red giants.",astro-ph,"M.Mocak, E.Mueller, A.Weiss, K.Kifonidis",2009-11-13
0804.1794,Destruction of Neel order in the cuprates by electron-doping,"Motivated by the evidence in PCCO and NCCO of a magnetic quantum critical point at which Neel order is destroyed, we study the evolution with doping of the T=0 quantum phases of the electron doped cuprates. At low doping, there is a metallic Neel state with small electron Fermi pockets, and this yields a fully gapped d_{x^2-y^2} superconductor with co-existing Neel order at low temperatures. We analyze the routes by which the spin-rotation symmetry can be restored in these metallic and superconducting states. In the metal, the loss of Neel order leads to a topologically ordered `doublon metal' across a deconfined critical point with global O(4) symmetry. In the superconductor, in addition to the conventional spin density wave transition, we find a variety of unconventional possibilities, including transitions to a nematic superconductor and to valence bond supersolids. Measurements of the spin correlation length and of the anomalous dimension of the Neel order by neutron scattering or NMR should discriminate these unconventional transitions from spin density wave theory.",cond-mat.str-el,"Ribhu K. Kaul, Max A. Metlitski, Subir Sachdev, Cenke Xu",2008-07-18
0803.4189,Atomic Zitterbewegung,"Ultra-cold atoms which are subject to ultra-relativistic dynamics are investigated. By using optically induced gauge potentials we show that the dynamics of the atoms is governed by a Dirac type equation. To illustrate this we study the trembling motion of the centre of mass for an effective two level system, historically called Zitterbewegung. Its origin is described in detail, where in particular the role of the finite width of the atomic wave packets is seen to induce a damping of both the centre of mass dynamics and the dynamics of the populations of the two levels.",quant-ph,"M. Merkl, F. E. Zimmer, G. Juzeliunas, P. \""Ohberg",2009-11-13
0803.1052,"Families of conformally related asymptotically flat, static vacuum data","Extending the results of an earlier article we give a complete description of the asymptotically flat, conformally non-flat, static vacuum data which admit non-trivial, asymptotically smooth conformal mappings onto other such data. These data form a 3-parameter family which decomposes into 1-parameter families of data which are conformal to each other. The data and the associated static vacuum solutions are given explicitly in terms of elliptic and, in a special case, elementary functions.",gr-qc,Helmut Friedrich,2008-11-26
0809.1547,"Condensation in disordered lasers: theory, 3D+1 simulations and   experiments","The complex processes underlying the generation of a coherent-like emission from the multiple-scattering of photons and wave-localization in the presence of structural disorder are still mostly un-explored. Here we show that a single nonlinear Schroedinger equation, playing the role of the Schawlow-Townes law for standard lasers, quantitatively reproduces experimental results and three-dimensional time-domain parallel simulations of a colloidal laser system.",physics.optics cond-mat.stat-mech,"Claudio Conti, Marco Leonetti, Andrea Fratalocchi, Luca Angelani,
  Giancarlo Ruocco",2008-10-02
0809.3043,Integrally Closed Ideals on Log Terminal Surfaces are Multiplier Ideals,We show that all integrally closed ideals on log terminal surfaces are multiplier ideals by extending an existing proof for smooth surfaces.,math.AC math.AG,Kevin Tucker,2008-09-19
0812.1512,Preferred numbers and the distribution of trade sizes and trading   volumes in the Chinese stock market,"The distribution of trade sizes and trading volumes are investigated based on the limit order book data of 22 liquid Chinese stocks listed on the Shenzhen Stock Exchange in the whole year 2003. We observe that the size distribution of trades for individual stocks exhibits jumps, which is caused by the number preference of traders when placing orders. We analyze the applicability of the ""$q$-Gamma"" function for fitting the distribution by the Cram\'{e}r-von Mises criterion. The empirical PDFs of trading volumes at different timescales $\Delta{t}$ ranging from 1 min to 240 min can be well modeled. The applicability of the $q$-Gamma functions for multiple trades is restricted to the transaction numbers $\Delta{n}\leqslant8$. We find that all the PDFs have power-law tails for large volumes. Using careful estimation of the average tail exponents $\alpha$ of the distribution of trade sizes and trading volumes, we get $\alpha>2$, well outside the L{\'e}vy regime.",q-fin.ST,"Guo-Hua Mu, Wei Chen, J\'anos Kert\'esz, Wei-Xing Zhou",2009-03-10
0812.0199,The effects of flux transport on interface dynamos,"The operation of an interface dynamo (as has been suggested for the Sun and other stars with convective envelopes) relies crucially upon the effective transport of magnetic flux between two spatially disjoint generation regions. In the simplest models communication between the two regions is achieved solely by diffusion. Here we incorporate a highly simplified anisotropic transport mechanism in order to model the net effect of flux conveyance by magnetic pumping and by magnetic buoyancy. We investigate the influence of this mechanism on the efficiency of kinematic dynamo action. It is found that the effect of flux transport on the efficiency of the dynamo is dependent upon the spatial profile of the transport. Typically, transport hinders the onset of dynamo action and increases the frequency of the dynamo waves. However, in certain cases there exists a preferred magnitude of transport for which dynamo action is most efficient. Furthermore, we demonstrate the importance of the imposition of boundary conditions in drawing conclusions on the role of transport.",astro-ph,"J. Mason, D.W. Hughes and S.M. Tobias",2008-12-18
0709.1745,Electromagnetic form factors of the pion and kaon from the instanton   vacuum,"We investigate the pion and kaon (pi^+, K^+, K^0) electromagnetic form factors in the space-like region: Q^2 ~< 1 GeV, based on the gauged low-energy effective chiral action from the instanton vacuum in the large N_c limit. Explicit flavor SU(3) symmetry breaking is taken into account. The nonlocal contributions turn out to be crucial to reproduce the experimental data. While the pion electromagnetic form factor is in good agreement with the data, the kaon one seems underestimated. We also calculate the electromagnetic charge radii for the pion and kaon: <r^2>_{pi^+}=0.455 fm^2, <r^2>_{K^+}=0.486 fm^2 and <r^2>_{K^0}=-0.055 fm^2 without any adjustable free parameter except for the average instanton size and inter-instanton distance, and they are compatible with the experimental data. The low-energy constant L_9 in the large N_c limit is estimated to be 8.42*10^{-3} from the pion charge radius.",hep-ph,Seung-il Nam and Hyun-Chul Kim,2008-11-26
0704.0013,$p$-adic Limit of Weakly Holomorphic Modular Forms of Half Integral   Weight,"Serre obtained the p-adic limit of the integral Fourier coefficient of modular forms on $SL_2(\mathbb{Z})$ for $p=2,3,5,7$. In this paper, we extend the result of Serre to weakly holomorphic modular forms of half integral weight on $\Gamma_{0}(4N)$ for $N=1,2,4$. A proof is based on linear relations among Fourier coefficients of modular forms of half integral weight. As applications we obtain congruences of Borcherds exponents, congruences of quotient of Eisentein series and congruences of values of $L$-functions at a certain point are also studied. Furthermore, the congruences of the Fourier coefficients of Siegel modular forms on Maass Space are obtained using Ikeda lifting.",math.NT,Dohoon Choi and YoungJu Choie,2008-05-26
0810.1934,On the gravitational angular momentum of rotating sources,"The gravitational energy-momentum and angular momentum satisfy the algebra of the Poincare group in the full phase space of the teleparallel equivalent of general relativity. The expression for the gravitational energy-momentum may be written as a surface integral in the three-dimensional spacelike hypersurface, whereas the definition for the angular momentum is given by a volume integral. It turns out that in practical calculations of the angular momentum of the gravitational field generated by localized sources like rotating neutron stars, the volume integral reduces to a surface integral, and the calculations can be easily carried out. Similar to previous investigations in the literature, we show that the total angular momentum is finite provided a certain asymptotic behaviour is verified. We discuss the dependence of the gravitational angular momentum on the frame, and argue that it is a measure of the dragging of inertial frames.",gr-qc,"J. W. Maluf, S. C. Ulhoa",2009-11-13
